9수01-01 | 소인수분해의 뜻을 알고, 자연수를 소인수분해 할 수 있다.
9수01-02 | 소인수분해를 이용하여 최대공약수와 최소공배수를 구할 수 있다.
9수01-03 | 다양한 상황을 이용하여 음수의 필요성을 인식하고, 양수와 음수, 정수와 유리수의 개념을 이해한다.
9수01-04 | 정수와 유리수의 대소 관계를 판단할 수 있다.
9수01-05 | 정수와 유리수의 사칙계산의 원리를 이해하고, 그 계산을 할 수 있다.
9수01-06 | 순환소수의 뜻을 알고, 유리수와 순환소수의 관계를 설명할 수 있다.
9수01-07 | 제곱근의 뜻과 성질을 알고, 제곱근의 대소 관계를 판단할 수 있다.
9수01-08 | 무리수의 개념을 이해하고, 무리수의 유용성을 인식할 수 있다.
9수01-09 | 실수의 대소 관계를 판단하고 설명할 수 있다.
9수01-10 | 근호를 포함한 식의 사칙계산의 원리를 이해하고, 그 계산을 할 수 있다.
9수02-01 | 다양한 상황을 문자를 사용한 식으로 나타내어 그 유용성을 인식하고, 식의 값을 구할 수 있다.
9수02-02 | 일차식의 덧셈과 뺄셈의 원리를 이해하고, 그 계산을 할 수 있다.
itest-019fbe93 | 통합테스트 개념 | -
itest-019fbec5 | 통합테스트 개념 | -
itest-019fbfd0 | 통합테스트 개념 | -
itest-019fbfd2 | 통합테스트 개념 | -
itest-019fbfdb | 통합테스트 개념 | -
itest-019fbfe1 | 통합테스트 개념 | -
itest-019fbff4 | 통합테스트 개념 | -
itest-019fc026 | 통합테스트 개념 | -
itest-019fc02d | 통합테스트 개념 | -
itest-019fc033 | 통합테스트 개념 | -
itest-019fc03d | 통합테스트 개념 | -
itest-019fc046 | 통합테스트 개념 | -
itest-019fc04a | 통합테스트 개념 | -
itest-019fc05a | 통합테스트 개념 | -
itest-019fc085 | 통합테스트 개념 | -
itest-019fc1ad | 통합테스트 개념 | -
itest-019fc1b6 | 통합테스트 개념 | -
itest-019fc29e | 통합테스트 개념 | -
itest-019fc2c1 | 통합테스트 개념 | -
itest-019fc2e6 | 통합테스트 개념 | -
itest-019fc315 | 통합테스트 개념 | -
itest-019fc363 | 통합테스트 개념 | -
itest-019fc5dd | 통합테스트 개념 | -
itest-019fc5e5 | 통합테스트 개념 | -
itest-fc-019fbfd2-15dc-763f-b31c-a83c87546681 | 통합테스트 개념 | -
itest-fc-019fbfdb-41af-7518-8c4c-57d231319422 | 통합테스트 개념 | -
itest-fc-019fbfe1-c919-74dc-8991-bcb90f411faa | 통합테스트 개념 | -
itest-fc-019fbff4-2352-71de-ac0d-828418a2d1ee | 통합테스트 개념 | -
itest-fc-019fc025-fe69-777d-824a-fa7232702320 | 통합테스트 개념 | -
itest-fc-019fc02d-dd31-76d5-bf86-feceeb0899f7 | 통합테스트 개념 | -
itest-fc-019fc033-662e-76ec-884a-0457915e6477 | 통합테스트 개념 | -
itest-fc-019fc03d-748e-7219-9f6e-4b67f2afe443 | 통합테스트 개념 | -
itest-fc-019fc046-81b5-75b9-a3b2-4a52900d1c5f | 통합테스트 개념 | -
itest-flow-019fbe0e-246e-77c9-a830-538cae6d65a0 | 통합테스트 개념 | -
itest-flow-019fbe13-26b9-77ee-956e-b06d420481d2 | 통합테스트 개념 | -
itest-flow-019fbe19-162f-740d-a0de-b87a9b40d673 | 통합테스트 개념 | -
itest-flow-019fbe2f-dbbd-73b4-9d39-d26f52e270b9 | 통합테스트 개념 | -
itest-flow-019fbe5b-9780-7338-b915-eecf37c1744b | 통합테스트 개념 | -
itest-flow-019fbe75-9c61-7718-b4ed-20c8960c3f3d | 통합테스트 개념 | -
itest-flow-019fbe7c-8d67-750a-9f71-9ffc6bf16e8d | 통합테스트 개념 | -
itest-flow-019fbe7e-6ebe-777e-9759-9ab8423583e4 | 통합테스트 개념 | -
